Время: 2024-11-18 01:22:17, Клиент 1: Привет от клиента, сообщение 0
Время: 2024-11-18 01:22:18, Клиент 1: Привет от клиента, сообщение 1
Время: 2024-11-18 01:22:19, Клиент 1: Привет от клиента, сообщение 2
Время: 2024-11-18 01:22:19, Клиент 2: Привет от клиента, сообщение 0
Время: 2024-11-18 01:22:20, Клиент 1: Привет от клиента, сообщение 3
Время: 2024-11-18 01:22:20, Клиент 2: Привет от клиента, сообщение 1
Время: 2024-11-18 01:22:21, Клиент 1: Привет от клиента, сообщение 4
Время: 2024-11-18 01:22:21, Клиент 2: Привет от клиента, сообщение 2
Время: 2024-11-18 01:22:21, Клиент 3: Привет от клиента, сообщение 0
Время: 2024-11-18 01:22:22, Клиент 1: Привет от клиента, сообщение 5
Время: 2024-11-18 01:22:22, Клиент 2: Привет от клиента, сообщение 3
Время: 2024-11-18 01:22:22, Клиент 3: Привет от клиента, сообщение 1
Время: 2024-11-18 01:22:23, Клиент 1: Привет от клиента, сообщение 6
Время: 2024-11-18 01:22:23, Клиент 2: Привет от клиента, сообщение 4
Время: 2024-11-18 01:22:23, Клиент 3: Привет от клиента, сообщение 2
Время: 2024-11-18 01:22:24, Клиент 1: Привет от клиента, сообщение 7
Время: 2024-11-18 01:22:24, Клиент 2: Привет от клиента, сообщение 5
Время: 2024-11-18 01:22:24, Клиент 3: Привет от клиента, сообщение 3
Время: 2024-11-18 01:22:25, Клиент 1: Привет от клиента, сообщение 8
Время: 2024-11-18 01:22:25, Клиент 2: Привет от клиента, сообщение 6
Время: 2024-11-18 01:22:25, Клиент 3: Привет от клиента, сообщение 4
Время: 2024-11-18 01:22:26, Клиент 1: Привет от клиента, сообщение 9
Время: 2024-11-18 01:22:26, Клиент 2: Привет от клиента, сообщение 7
Время: 2024-11-18 01:22:26, Клиент 3: Привет от клиента, сообщение 5
Время: 2024-11-18 01:22:27, Клиент 1: exit
Время: 2024-11-18 01:22:27, Клиент 2: Привет от клиента, сообщение 8
Время: 2024-11-18 01:22:28, Клиент 3: Привет от клиента, сообщение 6
Время: 2024-11-18 01:22:28, Клиент 2: Привет от клиента, сообщение 9
Время: 2024-11-18 01:22:29, Клиент 3: Привет от клиента, сообщение 7
Время: 2024-11-18 01:22:29, Клиент 2: exit
Время: 2024-11-18 01:22:30, Клиент 3: Привет от клиента, сообщение 8
